front,back,article,plural,category,exampleTarget,exampleNative,syn1Word,syn1Article,syn1Translation,syn1Example,syn1ExampleNative,syn2Word,syn2Article,syn2Translation,syn2Example,syn2ExampleNative,syn3Word,syn3Article,syn3Translation,syn3Example,syn3ExampleNative
the beer garden,Biergarten,der,,Food,Im Sommer sitzen wir gern im Biergarten.,In summer we like to sit in the beer garden.,,,,,,,,,,,,,,,
the bench / bank,Bank,die,,Daily Life,Die Bank am Park ist sehr bequem.,The bench in the park is very comfortable.,,,,,,,,,,,,,,,
self-service,Selbstbedienung,die,,Food,Bei uns gibt es Selbstbedienung.,We have self-service here.,,,,,,,,,,,,,,,
open,geöffnet,,,Daily Life,Das Restaurant ist heute bis 22 Uhr geöffnet.,The restaurant is open today until 10 pm.,,,,,,,,,,,,,,,
outside,draußen,,,Daily Life,Man kann draußen sitzen wenn das Wetter gut ist.,You can sit outside when the weather is good.,,,,,,,,,,,,,,,
the programme / schedule,Programm,das,,Events,Was steht heute auf dem Programm?,What is on the programme today?,,,,,,,,,,,,,,,
to be on / what's going on,los sein,,,Events,Was ist hier los? Es ist sehr laut!,What is going on here? It is very loud!,,,,,,,,,,,,,,,
to have no desire,keine Lust haben,,,Daily Life,Ich habe keine Lust auf Sport heute.,I don't feel like doing sport today.,,,,,,,,,,,,,,,
to come along,mitkommen,,,Daily Life,Kommst du mit ins Kino?,Are you coming along to the cinema?,,,,,,,,,,,,,,,
the meeting point,Treffpunkt,der,,Events,Der Treffpunkt ist vor dem Hauptbahnhof.,The meeting point is in front of the main station.,,,,,,,,,,,,,,,
the admission / entrance fee,Eintritt,der,,Events,Der Eintritt kostet zehn Euro.,Admission costs ten euros.,,,,,,,,,,,,,,,
the registration,Anmeldung,die,,Events,Die Anmeldung für den Kurs ist online.,Registration for the course is online.,,,,,,,,,,,,,,,
to begin / start,beginnen,,,Events,Das Konzert beginnt um acht Uhr.,The concert begins at eight o'clock.,,,,,,,,,,,,,,,
to end,enden,,,Events,Die Veranstaltung endet um Mitternacht.,The event ends at midnight.,,,,,,,,,,,,,,,
the card / ticket,Karte,die,,Events,Ich habe zwei Karten für das Konzert.,I have two tickets for the concert.,,,,,,,,,,,,,,,
to believe / think,glauben,,,Daily Life,Ich glaube das ist eine gute Idee.,I think that is a good idea.,,,,,,,,,,,,,,,
to run / he runs,laufen,,,Leisure,Er läuft jeden Morgen fünf Kilometer.,He runs five kilometres every morning.,,,,,,,,,,,,,,,
to enjoy,genießen,,,Daily Life,Wir genießen den schönen Abend.,We are enjoying the lovely evening.,,,,,,,,,,,,,,,
to happen / pass,passieren,,,Daily Life,Was ist passiert? Alles in Ordnung?,What happened? Is everything alright?,,,,,,,,,,,,,,,
at home,zu Hause,,,Daily Life,Ich bin heute den ganzen Tag zu Hause.,I am at home all day today.,,,,,,,,,,,,,,,
cold,kalt,,,Daily Life,Das Wasser ist heute sehr kalt.,The water is very cold today.,,,,,,,,,,,,,,,
warm,warm,,,Daily Life,Die Suppe ist noch warm.,The soup is still warm.,,,,,,,,,,,,,,,
again,wieder,,,Daily Life,Wir sehen uns wieder nächste Woche.,We will see each other again next week.,,,,,,,,,,,,,,,
typical,typisch,,,Daily Life,Das ist typisch deutsch.,That is typically German.,,,,,,,,,,,,,,,
forbidden / not allowed,verboten,,,Daily Life,Hier ist Rauchen verboten.,Smoking is forbidden here.,,,,,,,,,,,,,,,
everywhere,überall,,,Daily Life,Die Touristen sind überall in der Stadt.,The tourists are everywhere in the city.,,,,,,,,,,,,,,,
especially,besonders,,,Daily Life,Das Essen ist hier besonders gut.,The food here is especially good.,,,,,,,,,,,,,,,
the playground,Spielplatz,der,,Daily Life,Die Kinder spielen auf dem Spielplatz.,The children are playing on the playground.,,,,,,,,,,,,,,,
early,früh,,,Daily Life,Ich stehe morgen früh um sechs Uhr auf.,I get up early tomorrow at six o'clock.,,,,,,,,,,,,,,,
Why not?,Warum nicht?,,,Daily Life,Warum nicht – das klingt gut!,Why not – that sounds good!,,,,,,,,,,,,,,,
Is that clear?,Alles klar?,,,Daily Life,Alles klar – wir sehen uns um acht!,All clear – we will see each other at eight!,,,,,,,,,,,,,,,
When then?,Wann denn?,,,Daily Life,Wann denn – heute oder morgen?,When then – today or tomorrow?,,,,,,,,,,,,,,,
Sounds good.,Klingt gut.,,,Daily Life,Klingt gut – ich komme gerne mit!,Sounds good – I would love to come along!,,,,,,,,,,,,,,,
to pick up / collect,abholen,,,Daily Life,Ich hole dich um sieben Uhr ab.,I will pick you up at seven o'clock.,,,,,,,,,,,,,,,
to begin / start,anfangen,,,Daily Life,Wann fängt die Party an?,When does the party start?,,,,,,,,,,,,,,,
to call (phone),anrufen,,,Communication,Ich rufe dich morgen an.,I will call you tomorrow.,,,,,,,,,,,,,,,
to stop / listen,aufhören,,,Daily Life,Hör bitte auf mit dem Lärm!,Please stop making that noise!,,,,,,,,,,,,,,,
to participate / join in,mitmachen,,,Daily Life,Machst du beim Spiel mit?,Are you joining in with the game?,,,,,,,,,,,,,,,
